Symbol,Score,Close,Week Return %,Vol Surge (x),Close Strength,4W Return %,12W Return %,RS vs Mkt 4W %,% From 52W High,Above 52W Low %,Vol Trend (4w/10w),ADTV (Rs cr/day),Gates Passed,Week Ending,Days In Week
FILATEX,95.7,71.57,14.97,14.31,0.72,30.46,72.83,30.31,-5.58,97.4,1.79,9.1,9/9,2026-07-17,5
TBZ,94.9,258.13,13.05,7.61,0.68,36.66,76.58,36.51,-6.13,133.6,1.65,18.9,9/9,2026-07-17,5
GNA,94.2,567.05,19.28,10.87,0.75,37.25,32.09,37.1,-5.75,94.3,1.39,7.3,9/9,2026-07-17,5
RELAXO,93.9,439.95,11.46,20.44,1.0,23.63,46.07,23.48,-16.36,86.0,1.91,16.8,9/9,2026-07-17,5
RESPONIND,93.8,220.6,17.12,13.9,0.85,15.44,47.75,15.29,-10.65,88.1,1.79,10.1,9/9,2026-07-17,5
CYIENTDLM,93.6,578.65,6.05,3.78,0.74,22.17,55.13,22.01,-3.91,118.2,1.58,12.9,9/9,2026-07-17,5
STYL,93.4,399.95,11.25,1.81,0.89,36.43,66.75,36.28,-8.57,91.3,1.02,6.5,9/9,2026-07-17,5
BLSE,92.9,274.37,4.22,3.24,0.77,20.85,54.94,20.7,-4.03,120.7,1.69,7.4,9/9,2026-07-17,5
INDNIPPON,90.3,1213.4,3.84,1.76,0.62,32.71,54.52,32.56,-2.58,79.8,1.17,5.6,9/9,2026-07-17,5
GABRIEL,90.1,1336.6,6.86,2.08,0.75,11.63,37.37,11.47,-3.7,68.0,1.12,39.0,9/9,2026-07-17,5
ATHERENERG,89.9,1282.2,4.6,1.72,0.66,31.95,45.21,31.8,-4.67,289.5,1.18,525.7,9/9,2026-07-17,5
ARMANFIN,89.8,1958.2,8.01,2.91,0.62,15.58,31.49,15.43,-5.36,54.2,1.07,6.8,9/9,2026-07-17,5
OPTIEMUS,89.5,588.95,8.85,1.53,0.9,33.59,46.18,33.44,-17.4,104.5,1.51,11.5,9/9,2026-07-17,5
LANDMARK,89.2,526.25,24.12,75.98,0.73,23.52,28.79,23.36,-20.6,55.0,2.23,7.0,9/9,2026-07-17,5
BALRAMCHIN,88.2,604.45,6.62,1.97,0.82,13.7,17.12,13.55,-2.98,53.6,0.87,35.8,9/9,2026-07-17,5
PICCADIL,88.1,729.55,8.6,3.85,0.7,26.0,16.24,25.85,-9.43,41.7,1.4,6.8,9/9,2026-07-17,5
FLUOROCHEM,88.0,4144.9,5.16,1.95,0.92,7.94,22.51,7.79,-0.6,42.1,1.27,47.4,9/9,2026-07-17,5
BEPL,87.5,113.1,9.66,4.91,0.92,6.84,13.6,6.69,-3.74,52.4,1.26,5.5,9/9,2026-07-17,5
BIOCON,86.4,437.2,4.47,3.65,0.78,5.22,24.97,5.07,-2.23,32.1,1.32,179.1,9/9,2026-07-17,5
UNIMECH,85.9,1282.8,8.25,1.82,0.76,7.11,28.94,6.96,-8.17,84.6,1.19,16.9,9/9,2026-07-17,5
TATVA,85.5,1428.1,7.66,1.9,0.82,19.61,12.46,19.45,-11.3,46.3,1.05,6.3,9/9,2026-07-17,5
DIVISLAB,84.5,7247.5,6.02,1.89,0.76,7.48,13.93,7.33,-1.93,28.6,1.07,266.9,9/9,2026-07-17,5
DIXON,84.3,14329.0,6.77,1.64,0.76,14.48,32.49,14.32,-22.42,49.3,1.04,723.0,9/9,2026-07-17,5
SUMICHEM,84.2,538.55,4.84,1.89,0.74,18.96,23.89,18.81,-19.02,48.5,1.69,24.0,9/9,2026-07-17,5
TANLA,82.8,584.55,6.24,2.94,0.75,12.12,20.33,11.97,-23.69,59.8,1.2,23.7,9/9,2026-07-17,5
BAJAJ-AUTO,78.8,10443.0,2.83,1.64,0.88,3.75,9.05,3.59,-3.61,32.9,1.13,372.2,9/9,2026-07-17,5
JUBLPHARMA,78.4,1022.6,6.06,2.42,0.77,5.82,8.17,5.67,-18.06,30.1,1.13,11.5,9/9,2026-07-17,5
ABB,77.8,7506.0,9.8,2.33,0.65,3.56,2.42,3.41,-5.28,61.9,0.96,269.0,9/9,2026-07-17,5
VAIBHAVGBL,77.8,262.07,0.27,1.53,0.82,7.26,21.88,7.11,-10.63,50.5,1.25,8.9,9/9,2026-07-17,5
ARE&M,75.8,907.4,1.95,1.96,0.78,7.43,3.09,7.28,-14.22,35.4,0.74,42.3,9/9,2026-07-17,5
ASKAUTOLTD,72.6,482.1,2.17,1.68,0.65,2.57,12.47,2.42,-16.66,28.5,1.45,7.3,9/9,2026-07-17,5
DEEPAKNTR,71.9,1708.0,3.89,1.61,0.63,3.87,1.05,3.71,-12.54,33.4,1.22,29.5,9/9,2026-07-17,5
METROBRAND,68.1,1071.3,1.1,1.73,0.69,3.25,2.77,3.09,-20.08,21.3,1.31,5.2,9/9,2026-07-17,5
