Symbol,Score,Close,Week Return %,Vol Surge (x),Close Strength,4W Return %,12W Return %,RS vs Mkt 4W %,% From 52W High,Above 52W Low %,Vol Trend (4w/10w),ADTV (Rs cr/day),Gates Passed,Week Ending,Days In Week
GREAVESCOT,97.2,263.6,19.28,4.24,0.93,42.46,63.36,38.17,-1.27,119.7,1.61,30.1,9/9,2026-07-10,5
INDSWFTLAB,96.5,246.44,22.77,2.02,0.96,51.16,86.9,46.88,-0.63,258.6,1.24,25.2,9/9,2026-07-10,5
GODREJIND,96.0,1417.7,18.4,4.31,0.9,36.59,52.85,32.31,-1.75,90.5,0.75,22.0,9/9,2026-07-10,5
BALAMINES,93.6,2414.9,15.53,2.37,0.99,13.22,111.96,8.93,-0.21,149.4,0.62,77.3,9/9,2026-07-10,5
IOLCP,93.4,171.06,16.2,4.97,0.8,27.43,87.71,23.14,-3.84,154.6,1.24,72.4,9/9,2026-07-10,5
WABAG,92.7,2221.2,6.64,2.94,0.87,40.78,59.86,36.49,-1.19,115.0,1.79,78.6,9/9,2026-07-10,5
FILATEX,92.5,62.25,19.97,4.71,0.9,19.9,38.46,15.61,-5.82,71.7,1.22,6.0,9/9,2026-07-10,5
LODHA,92.2,1220.75,23.02,2.74,0.97,35.74,39.91,31.46,-16.47,87.6,1.34,215.7,9/9,2026-07-10,5
TBZ,91.7,228.34,19.38,9.5,0.75,24.25,52.36,19.97,-5.66,106.6,1.37,15.8,9/9,2026-07-10,5
RML,91.7,1299.6,8.39,2.33,0.82,40.85,69.24,36.56,-1.84,113.6,1.8,6.4,9/9,2026-07-10,5
WELCORP,91.3,1612.6,9.14,2.98,0.9,15.0,49.71,10.71,-1.31,127.1,1.23,120.1,9/9,2026-07-10,5
KIRLOSENG,91.1,2491.9,6.44,2.47,0.96,31.81,53.97,27.52,-8.39,191.2,1.85,96.2,9/9,2026-07-10,5
AZAD,91.0,2479.5,21.03,2.83,0.89,15.32,30.21,11.03,-1.61,82.3,1.26,95.3,9/9,2026-07-10,5
NACLIND,90.6,234.56,5.47,4.97,0.87,42.36,33.98,38.08,-1.73,366.1,2.09,19.1,9/9,2026-07-10,5
AETHER,90.4,1500.8,13.11,2.55,0.84,31.32,27.21,27.03,-2.45,106.6,1.29,52.7,9/9,2026-07-10,5
AKUMS,89.9,701.95,11.27,2.72,0.94,12.69,28.62,8.4,-0.77,71.5,0.96,15.9,9/9,2026-07-10,5
J&KBANK,89.8,192.65,23.34,2.21,0.77,22.4,46.78,18.11,-4.51,97.9,1.0,61.6,9/9,2026-07-10,5
CYIENTDLM,89.7,545.65,17.53,3.56,0.68,21.34,59.9,17.05,-4.2,105.8,1.37,12.3,9/9,2026-07-10,5
FUSION,89.1,234.04,14.78,2.49,0.68,33.92,36.56,29.63,-3.29,71.5,1.59,12.9,9/9,2026-07-10,5
AEGISVOPAK,88.9,283.18,20.25,8.46,0.62,29.99,41.05,25.7,-6.23,79.2,1.52,21.2,9/9,2026-07-10,5
