Symbol,Score,Close,Week Return %,Vol Surge (x),Close Strength,4W Return %,12W Return %,RS vs Mkt 4W %,% From 52W High,Above 52W Low %,Vol Trend (4w/10w),ADTV (Rs cr/day),Gates Passed,Week Ending,Days In Week
PHOENIXLTD,88.7,2138.9,5.96,2.83,0.93,21.69,19.34,17.41,-0.47,52.5,1.43,93.2,9/9,2026-07-10,5
MOREALTY,88.7,93.5,9.23,2.41,0.98,21.55,18.93,17.27,-7.01,46.1,1.29,8.6,9/9,2026-07-10,5
MUTHOOTMF,88.6,235.26,6.9,9.77,0.76,25.41,33.08,21.12,-3.98,66.6,1.7,8.8,9/9,2026-07-10,5
GANDHAR,88.5,203.15,10.17,2.24,0.74,27.38,37.68,23.1,-3.17,76.7,1.24,17.7,9/9,2026-07-10,5
LLOYDSENGG,88.4,90.6,7.6,1.58,0.83,27.71,62.19,23.43,-2.15,142.2,1.59,109.7,9/9,2026-07-10,5
PRESTIGE,87.8,1733.2,6.64,1.78,0.93,24.93,27.74,20.65,-4.45,59.0,1.27,108.3,9/9,2026-07-10,5
IKS,87.8,1928.1,7.1,1.7,0.96,14.88,28.63,10.6,-0.25,52.8,1.24,30.6,9/9,2026-07-10,5
GRAVITA,87.7,1854.6,13.97,3.46,0.94,15.7,13.03,11.42,-4.84,46.4,1.14,33.7,9/9,2026-07-10,5
IONEXCHANG,86.7,468.3,12.86,8.2,0.87,35.5,16.86,31.22,-19.36,49.8,1.96,19.2,9/9,2026-07-10,5
CGCL,86.1,252.22,11.2,3.1,0.61,20.98,38.48,16.69,-4.65,66.9,1.48,87.8,9/9,2026-07-10,5
ITDC,85.2,716.8,22.48,128.25,0.65,22.51,16.32,18.22,-8.98,94.8,1.83,7.9,9/9,2026-07-10,5
PGHL,84.9,6839.0,7.79,2.38,0.86,8.78,36.16,4.49,-1.47,45.3,0.61,9.9,9/9,2026-07-10,5
SUPRAJIT,84.7,509.0,9.17,3.12,0.84,10.58,19.71,6.29,-1.67,30.5,0.75,6.0,9/9,2026-07-10,5
DATAMATICS,84.6,900.45,11.7,5.37,0.87,15.68,20.41,11.39,-19.6,42.5,1.06,8.8,9/9,2026-07-10,5
EIEL,84.6,244.49,10.27,2.18,0.95,31.77,14.76,27.49,-20.21,81.5,1.55,40.5,9/9,2026-07-10,5
VAIBHAVGBL,84.3,261.36,12.1,4.52,0.85,13.41,16.84,9.12,-10.87,50.1,1.32,6.7,9/9,2026-07-10,5
STYL,84.1,359.5,9.84,1.61,0.76,28.48,49.69,24.2,-17.82,71.9,0.98,6.5,9/9,2026-07-10,5
EQUITASBNK,83.6,82.24,6.68,1.96,0.9,8.87,25.37,4.58,-0.92,64.5,0.74,29.0,9/9,2026-07-10,5
SOTL,83.4,607.45,18.49,3.91,0.69,6.5,66.49,2.22,-4.96,112.5,0.61,16.5,9/9,2026-07-10,5
POLYPLEX,82.8,1060.55,10.51,1.7,0.81,18.06,20.01,13.77,-10.12,43.3,1.38,7.6,9/9,2026-07-10,5
SUMICHEM,82.7,513.7,18.06,4.05,0.96,11.23,16.12,6.94,-22.75,41.7,1.45,24.0,9/9,2026-07-10,5
SGMART,82.6,658.45,8.2,8.39,0.71,11.08,19.98,6.8,-4.3,110.3,1.33,13.3,9/9,2026-07-10,5
RAYMONDREL,82.5,700.0,9.53,1.68,0.72,17.96,53.12,13.68,-17.06,100.6,0.59,46.7,9/9,2026-07-10,5
RAIN,82.4,207.05,13.25,1.54,0.87,5.17,56.38,0.88,-3.32,107.3,0.64,122.6,9/9,2026-07-10,5
PICCADIL,82.0,671.8,17.03,2.16,0.84,15.64,14.93,11.35,-16.6,30.4,1.08,6.8,9/9,2026-07-10,5
JUBLINGREA,81.4,722.3,12.72,2.54,0.87,15.86,8.58,11.58,-15.2,34.4,1.18,17.9,9/9,2026-07-10,5
DELHIVERY,80.6,520.3,2.48,2.77,0.86,18.12,12.38,13.83,-0.71,39.0,1.56,145.4,9/9,2026-07-10,5
EXIDEIND,80.1,424.4,8.72,1.56,0.76,8.28,28.61,3.99,-1.53,47.9,0.81,133.3,9/9,2026-07-10,5
ORCHPHARMA,79.9,1012.55,3.87,8.91,0.6,10.41,77.83,6.12,-7.45,110.9,1.65,10.0,9/9,2026-07-10,5
THELEELA,79.9,501.0,4.4,1.65,0.77,16.57,17.36,12.28,-1.96,30.3,1.57,15.7,9/9,2026-07-10,5
INDUSINDBK,79.7,1015.8,7.88,1.8,0.72,10.73,18.96,6.45,-2.14,42.9,1.22,179.7,9/9,2026-07-10,5
OBEROIRLTY,79.4,1924.8,6.66,2.29,0.63,18.61,12.52,14.32,-3.09,38.4,1.45,89.9,9/9,2026-07-10,5
ANANTRAJ,79.4,585.85,13.34,2.1,0.95,9.56,14.11,5.27,-21.22,45.4,0.72,105.9,9/9,2026-07-10,5
ALKYLAMINE,79.3,1956.0,10.77,3.02,0.79,6.78,36.07,2.49,-18.5,61.4,0.47,23.4,9/9,2026-07-10,5
SENCO,79.1,362.15,11.14,7.9,0.86,7.03,10.99,2.75,-10.55,31.2,1.03,21.7,9/9,2026-07-10,5
MOSCHIP,79.0,236.82,13.79,3.95,0.62,12.74,19.64,8.46,-17.9,61.3,1.02,65.1,9/9,2026-07-10,5
BORORENEW,78.6,640.55,4.63,2.02,0.64,17.62,28.7,13.33,-11.16,71.1,0.84,47.8,9/9,2026-07-10,5
INOXINDIA,78.3,1978.0,3.83,2.09,0.77,9.39,32.6,5.1,-5.76,85.7,1.0,62.2,9/9,2026-07-10,5
JBCHEPHARM,77.6,2435.5,5.98,2.05,0.69,7.88,21.9,3.59,-1.56,51.8,1.1,63.0,9/9,2026-07-10,5
ARE&M,75.9,890.05,5.93,2.03,0.9,8.06,14.32,3.77,-15.86,32.8,0.61,42.3,9/9,2026-07-10,5
TORNTPHARM,75.6,4901.5,5.62,1.51,0.77,7.23,17.27,2.94,-0.94,47.9,1.12,199.0,9/9,2026-07-10,5
PREMIERENE,75.6,1117.2,6.24,1.64,0.86,7.98,7.98,3.7,-1.69,67.5,0.7,121.3,9/9,2026-07-10,5
HCG,73.5,666.4,5.12,1.76,0.9,5.69,17.87,1.41,-17.18,29.8,1.03,11.4,9/9,2026-07-10,5
ZENTEC,73.4,1880.4,6.65,1.51,0.84,4.83,16.33,0.54,-7.09,53.8,1.01,137.9,9/9,2026-07-10,5
PPLPHARMA,72.1,177.16,5.11,1.78,0.76,8.12,19.02,3.84,-19.78,33.9,1.55,66.0,9/9,2026-07-10,5
SMALLCAP,62.9,47.38,2.2,1.7,0.66,5.45,7.73,1.17,-13.06,26.9,1.05,7.7,9/9,2026-07-10,5
